Navigation type,Category,Is enabled,URL                                                                                                                                         ,Comment
People,"Archive.org (people) (g,s)",1,"https://www.archive.org/search.php?query=""%(surname)s+%(given)s""",
People,"Archive.org (people) (g,s,b,d)",1,"https://www.archive.org/search.php?query=""%(given)s+%(surname)s+%(birth_year)s+""-""+%(death_year)s""'",
Places,Archive.org (places),1,https://www.archive.org/search.php?query=%(place)s,
Sources,Archive.org (sources),1,https://www.archive.org/search.php?query=%(source_title)s,
People,Open Library,1,"https://openlibrary.org/search?q=%(surname)s, %(given)s",
People,"Google Search (g,s)",1,https://www.google.com/search?q=%(surname)s+%(given)s,
People,"Google Search (g,m,s,b,d)",1,"https://www.google.com/search?q=""%(given)s+%(middle)s+%(surname)s+%(birth_year)s+%(death_year)s""'",
People,Google Archives (s),1,https://news.google.de/archivesearch?q=%(surname)s,
People,"FamilySearch (records) (g,m,s,b,d)",1,https://www.familysearch.org/search/record/results?q.birthLikeDate.from=%(birth_year_from)s&q.birthLikeDate.to=%(birth_year_to)s&q.deathLikeDate.from=%(death_year_from)s&q.deathLikeDate.to=%(death_year_to)s&q.givenName=%(given)s+%(middle)s&q.surname=%(surname)s,Account Login: free
People,"FamilySearch (tree) (g,m,s,b,d)",1,https://www.familysearch.org/search/tree/results?count=20&q.birthLikeDate.from=%(birth_year_from)s&q.birthLikeDate.to=%(birth_year_to)s&q.deathLikeDate.from=%(death_year_from)s&q.deathLikeDate.to=%(death_year_to)s&q.givenName=%(given)s+%(middle)s&q.surname=%(surname)s,Account Login: free
People,"Familysearch (Collections) (g,s)",1,https://www.familysearch.org/search/all-collections/results?q.surname=%(surname)s&q.givenName=%(given)s                                                      ,Account Login: free
Places,Google Search (t),1,https://www.google.com/search?q=coordinates+%(title)s,
People,Test Locale,1,https://www.google.com/%(locale)s/search?q=coordinates,
Places,Test Locale,1,https://www.google.com/%(locale)s/search?q=coordinates,
Sources,Test Locale,1,https://www.google.com/%(locale)s/search?q=coordinates,
Families,Test Locale,1,https://www.google.com/%(locale)s/search?q=coordinates,
