Navigation type,Category,Is enabled,URL                                                                                                                                         ,Comment
People,Ukrgenealogy,1,https://ukrgenealogy.com.ua/search.php?keywords=%(surname)s+%(given)s                                                                                           ,
People,Genoua,1,http://forum.genoua.name/search.php?action=search&keywords=%(surname)s+%(given)s&search=Знайти                                                                  ,
People,ESU,1,https://esu.com.ua/search?s=%(surname)s+%(given)s                                                                                                        ,
People,Wikipedia,1,https://uk.wikipedia.org/w/index.php?fulltext=1&search=%(surname)s+%(given)s&title=Спеціальна:Пошук&ns0=1                                                ,
People,Reabit,1,https://www.reabit.org.ua/nbr/?st=4&region=&ss=&logic=or&f1_type=begins&f1_str=%(surname)s&f2_type=begins&f2_str=%(given)s&f3_type=begins&f3_str=&f4_from=&,
People,Myheritage,1,https://www.myheritage.com.ua/research?formId=master&formMode=1&useTranslation=1&exactSearch=&p=1&action=query&view_mode=card&qname=Name+fn.%(given)s+fnmo.1+,
People,Pra,1,https://pra.in.ua/en/search/filter?lastname=%(surname)s&firstname=%(given)s&year_from=&year_to=&settlement_name=                                             ,
People,Ridni (maps),1,https://ridni.org/karta/%(surname)s                                                                                                                               ,
People,Google,1,"http://www.google.com.ua/search?q=%(surname)s,+%(given)s                                                                                                      ",
People,Roots,1,https://roots.in.ua/advanced-search?page=1&last_name_search_type=should&last_name=%(surname)s&first_name=%(given)s&base_type=[all]                              ,
Places,Ridni (catalog),1,https://ridni.org/catalog/%(place)s                                                                                                                            ,
